high_booking_rate,accommodates,availability_30,availability_365,availability_60,availability_90,bathrooms,bedrooms,beds,cancellation_policy,cleaning_fee,extra_people,guests_included,host_identity_verified,host_is_superhost,host_listings_count,host_response_rate,host_response_time,instant_bookable,is_location_exact,maximum_nights,minimum_nights,Community_areas,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,security_deposit,square_feet,weekly_price,amenities_.Air.conditioning.,amenities_.Bed.linens.,amenities_.Carbon.monoxide.detector.,amenities_.Coffee.maker.,amenities_.Cooking.basics.,amenities_.Dishes.and.silverware.,amenities_.Extra.pillows.and.blankets.,amenities_.Fire.extinguisher.,amenities_.First.aid.kit.,amenities_.Free.street.parking.,amenities_.Hair.dryer.,amenities_.Hot.water.,amenities_.Laptop.friendly.workspace.,amenities_.Lock.on.bedroom.door.,amenities_.Long.term.stays.allowed.,amenities_.Private.entrance.,amenities_.Self.check.in.,amenities_.Smoke.detector.,amenities_Dishwasher,amenities_Dryer,amenities_Essentials,amenities_Hangers,amenities_Heating,amenities_Iron,amenities_Kitchen,amenities_Microwave,amenities_Oven,amenities_Refrigerator,amenities_Shampoo,amenities_Stove,amenities_TV,amenities_Washer,is_next_to_Lake,is_high_crime_area,is_major_section
1,2,28,40,40,40,1,1,1,moderate,19,20,1,0,1,1,100,within an hour,TRUE,TRUE,1125,1,WestSide,40,Apartment,10,10,10,10,10,97,10,Private room,0,1100,550,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
0,2,0,0,0,0,1,1,1,flexible,30,15,1,0,0,1,33,a few days or more,FALSE,TRUE,1125,2,NorthSide,60,House,10,10,10,10,10,97,10,Private room,100,1100,550,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1
1,3,26,360,56,86,1,0,0,moderate,39,0,1,0,0,6,100,within an hour,FALSE,TRUE,1124,2,Central,89,Other,9,10,9,10,10,93,9,Entire home/apt,200,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,3,30,365,60,90,1,1,1,strict_14_with_grace_period,80,0,1,0,1,22,100,within an hour,FALSE,TRUE,1125,31,Central,155,Apartment,10,10,10,10,10,100,10,Entire home/apt,100,1100,550,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
0,3,8,8,8,8,1.5,1,1,flexible,0,0,1,0,0,7,100,within an hour,TRUE,TRUE,1125,1,WestSide,10,House,10,10,10,10,10,97,10,Private room,0,1100,550,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
0,4,25,268,52,77,2,2,2,strict_14_with_grace_period,128,5,4,0,0,878,99,within an hour,TRUE,TRUE,1124,2,NorthSide,124,Apartment,10,10,9,9,10,97,9,Entire home/apt,400,1100,550,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,4,18,72,48,72,1,2,2,moderate,40,10,2,1,1,2,97,within an hour,FALSE,TRUE,1125,1,WestSide,79,Other,10,10,10,10,10,97,10,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,2,30,365,60,90,1,0,1,strict_14_with_grace_period,60,20,2,0,0,8,100,within an hour,FALSE,TRUE,1125,1,SouthSide,99,Apartment,8,10,8,10,8,78,8,Entire home/apt,150,1100,550,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
1,8,21,340,35,65,1,4,4,strict_14_with_grace_period,60,10,6,0,1,1,90,within an hour,FALSE,TRUE,90,2,WestSide,126,House,10,10,10,10,8,96,9,Entire home/apt,100,1100,550,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0,2,23,42,42,42,1,1,1,flexible,20,10,2,1,0,2,100,within an hour,TRUE,TRUE,28,1,SouthSide,60,Apartment,10,10,10,10,9,85,10,Private room,0,1100,550,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
