high_booking_rate,accommodates,availability_30,availability_365,availability_60,availability_90,bathrooms,bedrooms,beds,cancellation_policy,cleaning_fee,extra_people,guests_included,host_identity_verified,host_is_superhost,host_listings_count,host_response_rate,host_response_time,instant_bookable,is_location_exact,maximum_nights,minimum_nights,Community_areas,price,property_type,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,security_deposit,square_feet,weekly_price,amenities_.Air.conditioning.,amenities_.Bed.linens.,amenities_.Carbon.monoxide.detector.,amenities_.Coffee.maker.,amenities_.Cooking.basics.,amenities_.Dishes.and.silverware.,amenities_.Extra.pillows.and.blankets.,amenities_.Fire.extinguisher.,amenities_.First.aid.kit.,amenities_.Free.street.parking.,amenities_.Hair.dryer.,amenities_.Hot.water.,amenities_.Laptop.friendly.workspace.,amenities_.Lock.on.bedroom.door.,amenities_.Long.term.stays.allowed.,amenities_.Private.entrance.,amenities_.Self.check.in.,amenities_.Smoke.detector.,amenities_Dishwasher,amenities_Dryer,amenities_Essentials,amenities_Hangers,amenities_Heating,amenities_Iron,amenities_Kitchen,amenities_Microwave,amenities_Oven,amenities_Refrigerator,amenities_Shampoo,amenities_Stove,amenities_TV,amenities_Washer,is_next_to_Lake,is_high_crime_area,is_major_section
0,5,0,301,8,26,3,3,4,flexible,100,0,1,0,0,1,100,within a few hours,FALSE,TRUE,1125,2,NorthSide,425,Other,10,10,10,10,10,97,10,Entire home/apt,100,1100,550,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1
0,7,26,247,53,83,2,3,4,strict_14_with_grace_period,55,0,1,1,1,12,100,within an hour,FALSE,TRUE,900,3,FarNorthSide,499,Other,10,10,10,9,9,98,9,Entire home/apt,250,1100,550,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
0,1,29,89,59,89,1,1,1,flexible,5,0,1,0,1,2,100,within an hour,TRUE,FALSE,1125,2,NorthWestSide,20,Apartment,10,10,10,10,10,97,10,Shared room,100,1100,550,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,2,28,88,58,88,1,1,1,flexible,55,15,1,0,1,2,100,within an hour,TRUE,TRUE,1125,1,FarNorthSide,70,Condominium,9,9,9,9,9,90,9,Private room,100,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
0,5,20,152,50,80,1,2,2,moderate,78,0,4,0,0,65,100,within an hour,FALSE,TRUE,1125,1,NorthSide,23,Apartment,10,10,10,10,10,97,10,Entire home/apt,200,1100,550,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
0,2,30,365,60,90,1,1,1,strict_14_with_grace_period,100,5,1,1,1,19,100,within an hour,FALSE,TRUE,1000,32,SouthSide,34,Apartment,10,10,10,10,9,100,10,Private room,250,1100,550,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,8,19,167,49,77,3,4,6,strict_14_with_grace_period,125,25,4,1,0,1,100,within an hour,TRUE,TRUE,90,2,SouthSide,210,Condominium,10,9,9,9,9,93,9,Entire home/apt,0,1100,550,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
0,5,13,77,17,19,1,1,2,moderate,60,50,4,1,0,0,100,N/A,FALSE,TRUE,1125,2,FarNorthSide,150,Condominium,10,10,10,10,10,97,10,Entire home/apt,600,1100,550,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0
1,6,20,270,46,74,1.5,2,2,strict_14_with_grace_period,121,0,1,0,0,22,99,within an hour,TRUE,TRUE,1125,3,Central,199,Other,9,9,9,9,10,93,9,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,4,14,243,29,52,2,2,2,strict_14_with_grace_period,136,5,4,0,0,878,99,within an hour,TRUE,TRUE,1124,2,NorthSide,116,Apartment,10,10,10,9,10,96,9,Entire home/apt,400,1100,550,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,2,30,365,60,90,1,0,1,flexible,80,0,1,0,1,22,100,within an hour,FALSE,TRUE,1125,31,Central,72,Apartment,10,10,10,10,10,97,10,Entire home/apt,0,1100,550,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
0,5,0,168,4,4,1.5,3,0,moderate,50,0,4,1,1,2,100,within a few hours,FALSE,TRUE,1125,3,WestSide,150,House,10,10,10,10,9,100,10,Entire home/apt,100,1100,550,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
1,4,30,180,60,90,1,2,2,moderate,55,0,1,0,1,1,100,within an hour,TRUE,TRUE,1125,2,NorthSide,350,Other,10,10,9,10,10,96,9,Entire home/apt,100,1100,550,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1
1,10,24,293,54,84,2,4,4,strict_14_with_grace_period,99,0,1,1,0,52,92,within an hour,TRUE,TRUE,1125,1,NorthSide,549,Apartment,10,10,10,10,10,94,9,Entire home/apt,100,1100,550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,4,28,174,54,84,1,2,2,moderate,40,25,1,0,1,1,100,within a day,FALSE,TRUE,1125,2,SouthWestSide,64,Apartment,10,10,10,10,9,97,10,Entire home/apt,100,1100,550,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0
0,3,10,10,10,10,1,1,1,strict_14_with_grace_period,50,0,1,0,0,10,100,within an hour,FALSE,FALSE,1125,1,WestSide,249,House,9,9,8,10,9,100,9,Private room,200,1100,550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
1,2,0,108,0,18,1,1,2,moderate,45,35,1,1,1,1,83,within an hour,TRUE,TRUE,1125,2,WestSide,67,Condominium,10,10,9,10,10,96,9,Private room,0,1100,550,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,3,6,302,6,33,1,1,2,moderate,49,0,1,0,0,1,100,within an hour,TRUE,TRUE,1125,1,SouthSide,79,Condominium,10,9,9,10,10,97,9,Entire home/apt,0,1100,550,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1,2,1,71,3,10,1,1,1,moderate,40,10,2,0,1,1,95,within an hour,FALSE,TRUE,30,1,NorthSide,48,Other,10,10,10,10,10,98,10,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
0,2,30,365,60,90,1,1,1,moderate,80,0,1,0,0,79,100,within an hour,FALSE,TRUE,1124,31,Central,161,Apartment,10,10,10,10,10,100,9,Entire home/apt,0,1100,550,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
0,4,19,108,47,77,1,1,2,strict_14_with_grace_period,45,25,1,1,0,15,100,within an hour,TRUE,TRUE,300,1,Central,137,Apartment,6,8,10,8,10,60,6,Entire home/apt,0,1100,550,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1
0,2,1,121,13,31,1,1,1,flexible,55,0,1,0,0,1,100,within a few hours,FALSE,TRUE,3,1,FarNorthSide,60,Apartment,10,10,9,10,10,96,10,Entire home/apt,100,1100,550,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1,2,23,249,52,82,1,0,1,moderate,0,0,1,1,1,8,100,within an hour,TRUE,TRUE,1125,1,Central,450,Other,10,10,10,10,10,98,10,Hotel room,0,1100,550,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
1,10,24,264,54,84,2,2,2,strict_14_with_grace_period,75,25,2,0,0,2,100,within a few hours,FALSE,TRUE,30,1,SouthSide,149,Condominium,9,9,9,9,9,89,8,Entire home/apt,150,1100,550,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1
0,8,18,293,48,78,3.5,3,5,strict_14_with_grace_period,153,0,1,0,1,100,100,within an hour,TRUE,TRUE,1125,3,Central,449,Apartment,10,9,10,10,10,94,10,Entire home/apt,0,1100,550,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
